,phenovaluecount,prephenovalue,postphenovalue
961,2,Southern european (mostly iberian),x
962,2,75% English 25% Irish,x
963,2,great britain,x
964,2,English/scottish/irish/scandinavian/german,x
965,2,Polynesian,x
966,2,East indian (south asian) irish other west eurasian,x
967,2,Dutch,x
968,2,Gaelic Celtic/ Norse / Jewish,x
969,2,Anglo-slavic-scandinavian,x
970,2,white-on birth certificate-others lurking in the woodpile?,x
971,1,German Irish Scottish English Danish French Afro-Caribbean,x
972,1,French Italian Sicilian English possibly Native American,x
973,1,Slovak Scandinavian English,x
974,1,Turkish,x
975,1,Irish English German Polish Romanian French,x
976,1,Scottish 14% Albanian/Balkan/Macedonian/Greek 14% Irish +Scandinavian/Welsh,x
977,1,German + czech,x
978,1,British/Irish,x
979,1,sri lankan,x
980,1,Ukrainian,x
981,1,Northwestern European & Southeast Asian,x
982,1,White-on birth certificate-others lurking in the woodpile?,x
983,1,German (Palatine),x
984,1,English Irish Northern Irish Dutch Belgian Norwegian Swiss Liechtensteiner Swedish Sri Lankan Lenni Lenape,x
985,1,North sea germanic skandinavian germanic balto-slavic slavic,x
986,1,Irish/British/Spanish/Southwestern Native American/African-American,x
987,1,British german irish,x
988,1,eastern european,x
989,1,Gujarati,x
990,1,(Scandinavian 41.7% Norway) (French & German 22.1%) (British & Irish 9.2% United Kingdom) (Eastern European 4.1% poland/Hungary/Slovakia)(Broadly Northwestern European 21.2% Danish Dutch Belgian)  (Broadly European 1.8% Swiss Iberian),x
991,1,North Sea Germanic Skandinavian Germanic Balto-Slavic Slavic,x
992,1,Bengali,x
993,1,Eastern european,x
994,1,Native American - English - Irish,x
995,1,Irish/English/Welsh/German/Italian,x
996,1,1/2 nw euro 1/4 italian 1/4 jewish,x
997,1,Anglo-Scots-Irish,x
998,1,Northeast african/tuscan/northern italian/northern european/celtic/swiss/burusho pakistani/cherokee/creek/blackfoot/east asian,x
999,1,Northeastern european + Eastern european + Caucasus,x
1000,1,Irish Scottish Swiss German,x
1001,1,German Italian Irish Scottish,x
1002,1,Greek Irish French,x
1003,1,Northeast African/Tuscan/Northern Italian/Northern European/Celtic/Swiss/Burusho Pakistani/Cherokee/Creek/Blackfoot/East Asian,x
1004,1,united kingdom,x
1005,1,Hispanic or Mexican American,x
1006,1,French Canadian,x
1007,1,northern european & english/scottish,x
1008,1,tatar,x
1009,1,North west mediterranean,x
1010,1,1/2 NW Euro 1/4 Italian 1/4 Jewish,x
1011,1,Assyrian,x
1012,1,East Indian (South Asian) Irish Other West Eurasian,x
1013,1,Slovenian,x
1014,1,British German Irish,x
1015,1,61% ashkenazi 39% West Europe,x
1016,1,African American,x
1017,1,Jewish African Indigenous and European,x
1018,1,iberian,x
1019,1,German Irish,x
1020,1,US Black,x
1021,1,Crown of Aragon﻿ - Teutonic ,x
1022,1,Great britain,x
1023,1,Algerian,x
1024,1,Anglo-Slavic-Scandinavian,x
1025,1,English/Scottish/Irish/Scandinavian/German,x
1026,1,Scottish English Scandinavian Ashkenazi,x
1027,1,Appalachian Scots-Irish,x
1028,1,Northern European and African  ,x
1029,1,Irish english slavic,x
1030,1,Southern European (mostly Iberian),x
1031,1,Scottish English German French Other European,x
1032,1,Irish/Northern European/Scottish,x
1033,1,Cajun,x
1034,Phenotype,Interests-General,x
1035,6227,-,x
1036,20,History biography genealogy spirituality,x
1037,12,Science genetics psychology internet tech.,x
1038,11,Constantly changing,x
1039,10,Genealogy reading movies,x
1040,10,Science technology history politics,x
1041,9,Historyforeign language learningreading politicsgenealogysome gnostic,x
1042,8,Linguistics genealogy music travel astronomy philosophy world culture comedy...everything,x
1043,6,Computers technology,x
1044,5,Genealogy reading exercise movies,x
1045,5,Everything except sports,x
1046,5,Science math neuroscience physics chemistry,x
1047,5,Anthropologylinguisticstheoretical physicsastronomypopulations geneticshistorypsychology,x
1048,4,Reading (non-fiction & some fiction) art music science landscaping philosophy rowing travel i guess everything interests me ,x
1049,4,Genealogy History Geography Sports Dancing Travel,x
1050,4,Genealogy genetics photography art ,x
1051,4,Genealogy history travel investing science,x
1052,3,History geographphy botany evolution culture art philosophy ecology outdoor life science permaculture pre-history,x
1053,3,Hiking and researching things on the internet,x
1054,2,Technology Science reading traveling making things,x
1055,2,Web development movies reading researching topics on the Internet ,x
1056,2,Sociology Psychology Meta Physics Astronomy Astrology Politics Genetics,x
1057,2,Health,x
1058,2,Reading psychology cognitive science neuroscience philosophy medicine healthcare music art discussion,x
1059,2,genealogy travel history politics camping gardening internet genetics nature animals music non-fiction reading/tv documentaries,x
1060,2,photography Jane Austin independent study,x
1061,2,Fishing and nature,x
1062,2,History linguistics politics genealogy,x
1063,2,Science horticulture bush walking,x
1064,2,historyforeign language learningreading politicsgenealogysome gnostic,x
1065,1,genealogy reading exercise movies,x
1066,1,Computers Technology,x
1067,1,genealogy reading movies,x
1068,1,None minor severe,x
1069,1,Biosciences anthropology history genealogy gardening,x
1070,1,history biography genealogy spirituality,x
1071,1,Science sports competition,x
1072,1,Overbroad and not accurate,x
1073,1,flying scuba diving sailing genealogy,x
1074,1,Diamond painting music binge watching tv series ,x
1075,1,Genealogy History Archaeology Archaeogenetics Paleogenetics Paleoanthropology Ethnology,x
1076,1,genealogy biology (especially genetics) fashion/style (historical and present) existentialism ancient stoics Toaism,x
1077,1,Spirituality nature art music literature cinema,x
1078,1,Hiking politics genetics culture genealogy psychology and researching things on the internet,x
1079,1,linguistics theoretical phyics philosophy spiritualism reading history genealogy,x
1080,1,Technology science reading traveling making things,x
1081,1,gardening reading photography traveling,x
1082,1,reading (non-fiction & some fiction) art music science landscaping philosophy rowing travel i guess everything interests me ,x
1083,1,science technology history politics,x
1084,1,spirituality nature art music literature cinema,x
1085,1,Genealogy painting,x
1086,1,science sports competition,x
1087,1,anthropologylinguisticstheoretical physicsastronomypopulations geneticshistorypsychology,x
1088,1,History travel culture spirituality,x
1089,1,health,x
1090,1,Genealogy science water sports sewing,x
1091,1,genealogy Genetics photography art ,x
1092,1,Citizen science nutrition and health abnormal psychology careers education human intelligence,x
1093,Phenotype,"Increased Risk of GYN, Head & Neck Cancers (mutation on RNASEL Gene ~ Cancer Marker)",x
1094,6384,-,x
1095,6,Not listed,x
1096,6,N/a,x
1097,2,Rs3738579(ag),x
1098,2,Rs3738579(tt),x
1099,1,rs3738579(TT),x
1100,1,rs3738579(cc),x
1101,1,I had endometrial cancer stage 2 and survived it. ,x
1102,1,nan,x
1103,1,no idea,x
1104,Phenotype,Premature Atrial Contractions,x
1105,6361,-,x
1106,24,None,x
1107,9,Occasionally  ,x
1108,8,Unknown,x
1109,2,Only when i get the hell scared out of me.,x
1110,1,none,x
1111,Phenotype,Reduced MAO-A Activity,x
1112,6385,-,x
1113,14,Yes rs6323(tt),x
1114,1,rs6323(gt),x
1115,1,Yes rs6323(TT),x
1116,1,Rs6323(gt),x
1117,1,Rs6323 (GG),x
1118,1,Rs6323 (gg),x
1119,1,This is a genotype not a phenotype,x
1120,Phenotype,Hidradenitis Supperativa,x
1121,6389,-,x
1122,12,No i don't have this,x
1123,2,Mild case,x
1124,1,no i don't have this,x
1125,1,Mild Case,x
1126,Phenotype,Scottish Ancestry,x
1127,6327,-,x
1128,12,None,x
1129,12,Some,x
1130,9,Heavy scottish ancestry,x
1131,8,I  have irish ancestry,x
1132,7,Unknown,x
1133,5,I  have irish and scottish ancestry,x
1134,4,Heavy Scottish Ancestry,x
1135,3,Scottish parent,x
1136,3,Great-grandfather,x
1137,2,Several linesespecially from isle of tyree,x
1138,2,several linesespecially from Isle of Tyree,x
1139,2,Several lines maternal and paternal,x
1140,1,Great Grandfather from Paisley Scotland,x
1141,1,Italian,x
1142,1,great-grandfather,x
1143,1,I  have Irish ancestry,x
1144,1,Yes! I1 haplogroup,x
1145,1,Several Lines maternal and paternal,x
1146,1,I  have irish and Scottish ancestry,x
1147,1,Yes,x
1148,1,Paternal,x
1149,Phenotype,Welsh Ancestry,x
1150,6355,-,x
1151,14,None,x
1152,9,My bloodline is mostly from the uk,x
1153,9,None known,x
1154,6,Yes,x
1155,2,probably maternal  line of Roberts,x
1156,1,rumored a couple of hundred years back,x
1157,1,my bloodline is mostly from the UK,x
1158,1,Italian Spanish Sicilian Baltic Middle Eastern ,x
1159,1,Rumored a couple of hundred years back,x
1160,1,Italian spanish sicilian baltic middle eastern ,x
1161,1,yes,x
1162,1,Probably maternal  line of roberts,x
1163,1,200yrs ago on my Father's Mother's side,x
1164,1,Centuries ago,x
1165,1,my mother grandparents and great grandparents came from Wales. most originated in west country England,x
1166,Phenotype,nosebleeds as a child,nosebleeds as a child
1167,6231,-,-
1168,82,Yes,Yes
1169,72,None,No
1170,10,Occasionally,Yes
1171,5,Rarely. brother had them all the time though.,U
1172,3,yes,Yes
1173,1,occasionally,U
1174,1,Rarely. Brother had them all the time though.,U
1175,Phenotype,Hair and eye color Brown,x
1176,6355,-,x
1177,20,Caucasian,x
1178,10,No,x
1179,7,Yes. both.,x
1180,3,Dark brown hair/brown eyes,x
1181,2,dark brown hair/brown eyes,x
1182,1,banana,x
1183,1,Black Hair brown eyes ,x
1184,1,no,x
1185,1,red hair  brown eyes,x
1186,1,Light brown,x
1187,1,light brown,x
1188,1,Only dark brown hair,x
1189,1,Yes,x
1190,Phenotype,Mitral Insufficiency (Regurgitation),x
1191,6370,-,x
1192,17,None,x
1193,9,Unknown,x
1194,2,Mitral valve prolapse,x
1195,2,Tricuspid regurgitation (mild),x
1196,2,Minimal,x
1197,1,none,x
1198,1,Mild,x
1199,1,Mitral Valve Prolapse,x
1200,Phenotype,Left Ventricular Hypertrophy,x
1201,6362,-,x
1202,29,None,x
1203,4,Mild,x
1204,4,Dont know,x
1205,2,dont know,x
1206,1,none,x
1207,1,No but runs in my family.,x
1208,1,not that I know of but I do have heart palpitations regularly ,x
1209,1,Not that i know of but i do have heart palpitations regularly ,x
1210,Phenotype,ABH Blood Group (antigens) ,x
1211,6249,-,x
1212,31,A+,x
1213,30,O+,x
1214,19,A-,x
1215,17,Rs601338 a/g secretor ,x
1216,12,O-,x
1217,9,B+ (r1r2),x
1218,8,Unknown,x
1219,7,Rs601338 a/a non-secretor ,x
1220,4,B+ rs601338 a/g secretor,x
1221,3,Non abo blood group kell k-k+ (gg),x
1222,2,B+ don't know about anything more about my blood type.,x
1223,1,Non ABO Blood group Kell K-k+ (GG),x
1224,1,Ab-,x
1225,1,"A""b+",x
1226,1,Rs601338 g/g   a+,x
1227,1,"A""B+",x
1228,1,Secretor (saliva non-secretor),x
1229,1,B-,x
1230,1,HLA-B27,x
1231,1,Unknown but suspect I'm a non-secretor (O-),x
1232,1,rs601338 A/G secretor ,x
1233,1,Rs601338 g/g   A+,x
1234,1,Secretor - rs601338 GG   B-,x
1235,1,AB-,x
1236,1,Unknown but suspect i'm a non-secretor (o-),x
1237,Phenotype,"black skin,O+,hair Black,Eye color Brown,",x
1238,6392,-,x
1239,7,No,x
1240,5,Hair color started about 19 yrs old graying,x
1241,1,Hair color started about 19 yrs old Graying,x
1242,Phenotype,Photic Sneeze Reflex (Photoptarmis),Photic Sneeze Reflex (Photoptarmis)
1243,6120,-,-
1244,86,No sneezing,No
1245,68,Photic sneezer,Yes
1246,27,No,No
1247,20,Sometimes,U
1248,16,Not in light but do have sneezing fits on occasion,U
1249,15,no sneezing,No
1250,13,photic sneezer,Yes
1251,11,Photic sneezer with the snp,Yes
1252,6,Yes,Yes
1253,4,I have the snp but no sneezing,U
1254,3,Instant sneezing using pepper on my plate,U
1255,3,rs10427255,U
1256,3,Rs10427255,U
1257,3,Bright light helps control my sneezing (moves it along) but not an uncontrollable source of.,U
1258,2,CC,U
1259,2,Photic sneezer - but do not have snp,U
1260,1,photic sneezer - but do not have snp,U
1261,1,yes,Yes
1262,1,no,No
1263,Phenotype,ENTP,x
1264,6288,-,x
1265,20,Intj,x
1266,17,Entp,x
1267,16,Intp,x
1268,12,Enfp,x
1269,8,Infj,x
1270,7,Infp,x
1271,4,Do not know,x
1272,4,INTP,x
1273,3,do not know,x
1274,3,Enfj,x
1275,3,Isfj,x
1276,2,risk taker easy going outgoing social open rule breaker,x
1277,2,ENTP,x
1278,2,Risk taker easy going outgoing social open rule breaker,x
1279,2,Entj,x
1280,1,INTP the P is weak at 51%,x
1281,1,Not entp,x
1282,1,INFJ,x
1283,1,Not ENTP,x
1284,1,INFP,x
1285,1,ENFJ,x
1286,1,ENTJ,x
1287,1,ISFJ,x
1288,1,INTJ,x
1289,1,ENFP,x
1290,1,ESTJ,x
1291,1,ISTJ,x
1292,Phenotype,Tricuspid Insufficiency (Regurgitation),x
1293,6378,-,x
1294,17,None,x
1295,3,Mild,x
1296,3,Minimal,x
1297,3,Unknown,x
1298,1,none,x
1299,Phenotype,Weight,x
1300,6113,-,x
1301,20,180 lbs,x
1302,14,230lbs,x
1303,13,135 lbs,x
1304,12,165 lb,x
1305,11,110 lbs.,x
1306,11,190 lb,x
1307,10,155 lbs,x
1308,10,150 lbs,x
1309,10,145 lbs,x
1310,10,220 lbs,x
1311,9,210 lbs,x
1312,8,270 lbs,x
1313,8,125 lbs,x
1314,7,100 kg,x
1315,7,97kg,x
1316,6,76 kg,x
1317,6,200 lbs,x
1318,6,240 lbs,x
1319,5,120,x
1320,4,118 lbs,x
1321,4,170 lbs,x
1322,4,162,x
1323,4,225 pounds,x
1324,4,185 lbs,x
1325,4,255 lbs,x
1326,4,115 lbs,x
1327,3,63 kg,x
1328,3,79 kg,x
1329,3,140 lbs,x
1330,3,55 kg,x
1331,3,130 lbs,x
1332,3,74kg / 164lbs,x
1333,3,268.4 lbs,x
1334,3,73 kg,x
1335,2,82 kg,x
1336,2,None of your business,x
1337,2,83kg,x
1338,2,108 - 114 lbs most of adult life,x
1339,2,175 lb,x
1340,2,60 kg,x
1341,2,225 lbs,x
1342,2,128 lbs,x
1343,2,67 kg,x
1344,2,87kg,x
1345,2,15 Stone,x
1346,2,133 lbs,x
1347,2,53 kg,x
1348,1,50,x
1349,1,83 kg,x
1350,1,210lbs,x
1351,1,335lbs,x
1352,1,85 kg,x
1353,1,61 kg,x
1354,1,160 kg,x
1355,1,131 kg,x
1356,1,102 kgs,x
1357,1,235lbs,x
1358,1,108 lbs entire adult life (excluding predgnancy and 1 month post baby),x
1359,1,100 lbs,x
1360,1,260 lbs.,x
1361,1,70 kg,x
1362,1,142,x
1363,1,72 kg,x
1364,1,132lbs,x
1365,1,290,x
1366,1,51 kg,x
1367,1,318 lbs,x
1368,1,86kg,x
1369,1,78.5 kg,x
1370,1,67 Kg,x
1371,1,136 kg,x
1372,1,61 Kg,x
1373,1,88kg,x
1374,1,92 kg,x
1375,1,75 kg,x
1376,1,240 Lbs,x
1377,1,102lbs  46kg,x
1378,1,90 lb,x
1379,Phenotype,Large tonsil crypts and tonsil stones,Large tonsil crypts and tonsil stones
1380,6289,-,-
1381,55,No,No
1382,48,Yes,Yes
1383,8,Tonsils removed as a child,U
1384,5,Do i look like a dr????,U
1385,Phenotype,Uterine Fibroids ,x
1386,6368,-,x
1387,12,No,x
1388,9,Submucosal (sub-myoo-koh-zuhl) fibroids grow into the uterine cavity.,x
1389,5,N/a (male),x
1390,2,Submucosal (sub-myoo-KOH-zuhl) fibroids grow into the uterine cavity.,x
1391,2,N/A (male),x
1392,1,Yes (detected during adolescence and grew to grapefruit size by 30 y.o. Intramural. Benign but severe bleeding during menstruation,x
1393,1,No I had Cancer my mom took DES back in the 1950's,x
1394,1,Yes (detected during adolescence and grew to grapefruit size by 30 y.o. intramural. benign but severe bleeding during menstruation,x
1395,1,Extra -uterine fibroid - resulted in hysterectomy in mid -50s,x
1396,1,Yes after US Army Hosp in Frankfurk am Main perferated my uterus causing fibroids.,x
1397,1,Yes detected during intrauterine ultrasound for abnormal bleeding heavy painful cramping. Problems started after birth of 3rd child and tubal ligation.,x
1398,1,Yes,x
1399,Phenotype,AB +,x
1400,6315,-,x
1401,22,A+,x
1402,16,O+,x
1403,13,O-,x
1404,11,Ab+,x
1405,10,Unknown,x
1406,6,B+,x
1407,4,AB+,x
1408,3,A-,x
1409,2,Ab-,x
1410,1,B-,x
1411,1,AB-,x
1412,1,No,x
1413,Phenotype,Type 2 Diabetes +rs13266634,x
1414,6378,-,x
1415,11,No,x
1416,9,Rs1326634cc,x
1417,5,Not diagnosed yet but have rs13266634(ct).,x
1418,1,Not diagnosed yet but have rs13266634(CT).,x
1419,1,This is a genotype not a phenotype,x
1420,Phenotype,Kell Blood Group (K/k antigens)  ,x
1421,6307,-,x
1422,36,Have no idea,x
1423,20,K-k+,x
1424,14,No idea,x
1425,6,K+k+,x
1426,5,Kp(a-b+),x
1427,5,I don't have this,x
1428,4,Yes,x
1429,2,O negative,x
1430,2,Kp(a+b+),x
1431,1,o negative,x
1432,1,k-,x
1433,1,K-,x
1434,1,Kel1,x
1435,Phenotype,MBTI (Myers Briggs) Type,x
1436,6285,-,x
1437,23,Intp,x
1438,19,Enfp,x
1439,15,Infj,x
1440,14,Intj,x
1441,12,Infp,x
1442,7,Entp,x
1443,4,ENFJ,x
1444,3,Istj,x
1445,2,Enfj,x
1446,2,INTP,x
1447,2,INTJ,x
1448,2,Istp,x
1449,2,Isfj,x
1450,2,Enfj-t,x
1451,2,ISTJ-T,x
1452,1,INFP,x
1453,1,istj,x
1454,1,ENTJ,x
1455,1,entp,x
1456,1,ISTP,x
1457,1,isfp-a,x
1458,1,INFJ,x
1459,1,ENFP,x
1460,1,no idea but i don't like speaking to people i don't know,x
1461,Phenotype,"Throat, Stomach Cancer +rs2274223",x
1462,6383,-,x
1463,6,Rs2274223(gg) no history known,x
1464,6,No,x
1465,5,Have rs2274223 ag no history of throat or stomach cancer in family.,x
1466,2,Yes father died of throat cancer his father of stomach cancer i have rs2274223(ag),x
1467,1,rs2274223(gg) no history known,x
1468,1,Yes father died of throat cancer his father of stomach cancer I have rs2274223(AG),x
1469,1,Have rs2274223 AG no history of throat or stomach cancer in family.,x
1470,Phenotype,Nicotine dependence,Nicotine dependence
1471,5736,-,-
1472,346,Non-smoker,No
1473,48,Smoker 20 a day.,Yes
1474,37,Smoker. 10 cigarettes/day,Yes
1475,32,Ex-smoker. 25 cigarettes/day,U
1476,14,Ex-smoker 7 cigarettes/day,U
1477,13,Never-non-smoker ,No
1478,10,Smoker 2 a day.,Yes
1479,10,Smoker. 15 cigarettes/day. trying to quit.,Yes
1480,9,Vape nicotine,Yes
1481,9,Chain smoker,Yes
1482,9,Never,No
1483,8,Ex smoker  3 cigarettes/day,U
1484,8,Ex-smoker. 15 cigarettes/day,U
1485,8,Don't smoke,No
1486,7,Ex-smoker. 15-16 cigarettes/day,U
1487,7,Social smoker no addiction,U
1488,7,Ex-smoker still use nicotine gum,U
1489,7,Ex-smoker 2 a day,U
1490,6,Occasional cigar,U
1491,5,Made of nicotine,Yes
1492,5,Ex-smoker 10 cigarettes/day,U
1493,5,Ex smoker. 40 cigarettes a day,U
1494,4,Ex smoker - now vape,U
1495,4,Ex-Smoker. 25 cigarettes/day,U
1496,4,Gg,U
1497,4,Current smoker. ~10/day,U
1498,4,Ex smoker now use electronic cigarettes ,U
1499,3,Ex-Smoker. 15 cigarettes/day,U
1500,3,Snuff,U
1501,2,Have tried cigarettes - current non smoker  no addiction to nicotine,U
1502,2,Never - smoker ,No
1503,2,ex-smoker 7 cigarettes/day,U
1504,2,GG,U
1505,2,Ex-smoker 7 cigarettes/Day,U
1506,2,ex smoker. 40 cigarettes a day,U
1507,1,ex smoker - now vape,U
1508,1,6 cigarettes/day,Yes
1509,1,Smoker. 4 cigarettes/day. Nicotine lozenges daily.  Trying to quit for 4 years.,Yes
1510,1,chain smoker,Yes
1511,1,Dipper <1 can/day,U
1512,1,have tried cigarettes - current non smoker  no addiction to nicotine,U
1513,1,ex-smoker for 11 years no patches or gum,U
1514,1,Occasional Cigar,U
1515,1,Social Smoker No addiction,U
1516,1,Binge Smoker - 2 or 3 times a week 10-20 at a time.,U
1517,1,Ex-smoker. 60 cigarettes a day,No
1518,1,Smoker. 15 cigarettes/day. Trying to quit.,Yes
1519,1,excessive 3pks/day,Yes
1520,1,na,U
1521,1,Ex-smoker Still Use Nicotine Gum,U
1522,1,Smoker. 10 cigarettes/Day,U
1523,1,Ex smoker  3 cigarettes/Day,U
1524,1,ex smoker  3 cigarettes/day,U
1525,1,Ex-Smoker. 15-16 cigarettes/day,U
1526,1,dipper <1 can/day,U
1527,1,Ex social smoker,U
1528,Phenotype,Thyroid Disorders +rs966423,x
1529,6384,-,x
1530,11,Yes fluctuating hypo-to-hyperthyroidsm thyroid nodule hyperparathyroidism & rs966423(ct),x
1531,4,Rs966423(ct) but not diagnosed,x
1532,1,rs966423(ct) but not diagnosed,x
1533,1,Yes fluctuating hypo-to-hyperthyroidsm Thyroid nodule Hyperparathyroidism & rs966423(CT),x
1534,1,Hypothyroidism no nodule rs966423(ct),x
1535,1,Hypothyroid Thyroid nodule rs966423(CT),x
1536,1,Hypothyroid thyroid nodule rs966423(ct),x
1537,1,This is a genotype not a phenotype,x
1538,Phenotype,Asparagus Metabolite Detection,x
1539,6269,-,x
1540,90,Yes,x
1541,19,Can't smell,x
1542,15,Gg - but... i can smell it,x
1543,7,Don't know,x
1544,2,AG,x
1545,1,GG - But... I can smell it,x
1546,1,don't know,x
1547,1,Ag,x
1548,Phenotype,Beard Color,x
1549,6081,-,x
1550,41,No beard-female,x
1551,30,Red-brown,x
1552,25,Brown,x
1553,23,Red,x
1554,22,Black,x
1555,19,I'm a woman,x
1556,17,Brown-black,x
1557,13,Blonde-brown,x
1558,11,Red-blonde-brown-black(in diferent parts i have different colorfor example near the lips blond-red,x
1559,10,Dark brown with minor blondish-red,x
1560,9,Black graying,x
1561,8,Dark brown w/few blonde & red hairs,x
1562,8,Brown-gray,x
1563,7,Brown some red,x
1564,7,Brown-grey,x
1565,5,Blonde,x
1566,5,Dark brown,x
1567,5,Black with few red hairs,x
1568,4,Red-Blonde-Brown-Black(in diferent parts i have different colorfor example near the lips blond-red,x
1569,4,Was red-brown now mixed with gray,x
1570,4,Red-blonde-brown,x
1571,4,Black-brown-blonde,x
1572,4,Red moustache still is beard mostly white,x
1573,4,Red-blonde-brown-black,x
1574,3,red-brown,x
1575,3,Blonde/brown-some black-and red on chin-all starting to gray,x
1576,3,Blond-brown,x
1577,3,blonde-brown,x
1578,2,every possible color most hair shafts have more than one color at different points along the shaft,x
1579,2,Brown Ginger,x
1580,2,i'm a woman,x
1581,2,was red-brown now mixed with gray,x
